primary_system,role,label,mortality_category,lethality_stage,genotype_id,gene_symbols,zygosity,expression_direction,split,n_phenotype_terms,pmids,phenotype_terms
homeostasis/metabolism,neg,0,none,na,MGI:3846193,Mbtps1,multi-locus,none,test,5,11717426,abnormal lipid homeostasis|decreased circulating triglyceride level|decreased circulating cholesterol level|abnormal intestinal lipid absorption|decreased liver triglyceride level
skeleton,neg,0,none,na,MGI:5757651,Ropn1l,homozygote,decreased,test,5,,kyphosis|abnormal snout morphology|abnormal tooth morphology|abnormal spine curvature|decreased grip strength
muscle,neg,0,none,na,MGI:5428738,Sspn,homozygote,decreased,test,4,22734004|22798625|22798625,abnormal muscle physiology|increased susceptibility to injury|abnormal skeletal muscle fiber type ratio|increased quadriceps weight
neoplasm,neg,0,none,na,MGI:5437736,Ighm,multi-locus,mixed,test,1,22608497,increased lymphoma incidence
craniofacial,neg,0,none,na,MGI:2677244,Skull25,other,unknown,train,1,,enlarged cranium
reproductive system,neg,0,none,na,MGI:7551152,Lkaaear1,homozygote,decreased,train,1,,male infertility
behavior/neurological,neg,0,none,na,MGI:5430804,Adgrl3,homozygote,decreased,train,12,22575564|27247960,decreased circulating calcium level|decreased anxiety-related response|hyperactivity|increased stereotypic behavior|abnormal eating behavior|increased dopamine level|abnormal emotion/affect behavior|abnormal neurite morphology|induced hyperactivity|enhanced behavioral response to cocaine|increased serotonin level|increased locomotor activity
behavior/neurological,neg,0,none,na,MGI:5781716,Rapgefl1,homozygote,decreased,test,1,,increased thermal nociceptive threshold
hematopoietic system,neg,0,none,na,MGI:3626183,Lat,homozygote,decreased,test,7,12871507,small thymus|decreased thymocyte number|arrested T cell differentiation|abnormal T cell differentiation|decreased T cell number|decreased double-negative T cell number|abnormal platelet aggregation
behavior/neurological,neg,0,none,na,MGI:5293381,Prkab2,multi-locus,none,train,1,21896769,impaired exercise endurance
homeostasis/metabolism,neg,0,none,na,MGI:6695866,Ndor1|Stk26,multi-locus,none,test,1,32271880,increased incidence of tumors by chemical induction
endocrine/exocrine gland,neg,0,none,na,MGI:7545183,Elac2,homozygote,none,train,6,37093546,prostate gland hyperplasia|abnormal prostate gland anterior lobe morphology|prostate gland inflammation|prostate gland anterior lobe hyperplasia|abnormal prostate gland dorsolateral lobe morphology|prostate gland dorsolateral lobe hyperplasia
vision/eye,neg,0,none,na,MGI:5544446,26Sor|Pde6b,multi-locus,none,test,5,23946405,abnormal retina cone cell morphology|decreased retina photoreceptor cell number|abnormal ocular fundus morphology|retina photoreceptor degeneration|abnormal retina blood vessel morphology
reproductive system,neg,0,none,na,MGI:5288146,Klhl20,homozygote,none,train,1,,abnormal fertility/fecundity
nervous system,neg,0,none,na,MGI:3810277,Dab1,heterozygote,decreased,test,2,18029196,small cerebellum|abnormal cerebellar foliation
normal,neg,0,none,na,MGI:3796134,Mirc2,homozygote,decreased,test,1,18329372,no abnormal phenotype detected
homeostasis/metabolism,neg,0,none,na,MGI:3582059,Slc18a2,heterozygote,decreased,test,3,9427250,abnormal noradrenaline level|abnormal serotonin level|decreased dopamine level
