primary_system,role,label,mortality_category,lethality_stage,genotype_id,gene_symbols,zygosity,expression_direction,split,n_phenotype_terms,pmids,phenotype_terms
renal/urinary system,pos_adult,1,death,adult_aging,MGI:4452030,Col4a3,homozygote,decreased,test,14,20197625,glomerulonephritis|albuminuria|increased urine protein level|renal interstitial fibrosis|kidney failure|glomerulosclerosis|abnormal renal glomerulus morphology|increased circulating creatinine level|increased blood urea nitrogen level|renal tubule atrophy|abnormal renal glomerulus basement membrane morphology|renal cast|increased renal glomerulus basement membrane thickness|glomerulus hemorrhage
renal/urinary system,pos_adult,1,death,adult_aging,MGI:6323048,,hemizygote,increased,train,16,1646908,decreased hematocrit|decreased body size|anemia|kidney inflammation|muscular atrophy|hyperventilation|abnormal immune system organ morphology|enlarged kidney|renal interstitial fibrosis|kidney failure|lethargy|glomerulosclerosis|increased circulating creatinine level|increased blood urea nitrogen level|polycystic kidney|increased adenoma incidence
renal/urinary system,pos_dev,1,death,developmental,MGI:5295884,Pax2|Ret,multi-locus,decreased,test,6,17047028,absent kidney|renal hypoplasia|single kidney|absent ureter|decreased renal glomerulus number|impaired branching involved in ureteric bud morphogenesis
renal/urinary system,neg,0,none,na,MGI:6262460,Foxo4,hemizygote,decreased,train,1,,abnormal urinary bladder morphology
renal/urinary system,neg,0,none,na,MGI:5307127,Was,homozygote,decreased,test,9,22079330,abnormal kidney morphology|increased IgM level|increased IgA level|glomerulonephritis|increased urine protein level|abnormal glomerular mesangium morphology|expanded mesangial matrix|increased mesangial cell number|renal glomerular immunoglobulin deposits
renal/urinary system,neg,0,none,na,MGI:6506864,Jaml|Lepr,multi-locus,none,test,4,33186558,increased urine protein level|abnormal podocyte morphology|expanded mesangial matrix|renal glomerulus lipidosis
renal/urinary system,neg,0,none,na,MGI:5813037,Tgm3,homozygote,decreased,test,1,,abnormal kidney morphology
renal/urinary system,neg,0,none,na,MGI:6140204,Coro2b,homozygote,decreased,train,3,29162887,abnormal renal glomerulus morphology|abnormal urine protein level|increased fibroblast adhesion
respiratory system,pos_adult,1,death,adult_aging,MGI:3588035,Bloc1s6,homozygote,unknown,test,34,10193444|10193444|8441253|115747|12009785|12009785|8441253|12445206|12847290|15109702|15109702|5559839|18715234|25477496|25477496|6696991|5559839|6696991|7089489|8441253,diluted coat color|abnormal lung morphology|increased body weight|ataxia|impaired swimming|impaired balance|abnormal urine enzyme level|lung inflammation|abnormal lung volume|emphysema|abnormal respiratory system physiology|abnormal kidney physiology|abnormal pulmonary alveolus morphology|abnormal lung interstitium morphology|abnormal respiratory mechanics|tonic seizures|abnormal otolith morphology|abnormal lysosome physiology|pulmonary edema|decreased platelet serotonin level|abnormal linear vestibular evoked potential|abnormal melanosome morphology|head tilt|abnormal platelet physiology|increased bleeding time|ocular albinism|abnormal platelet activation|decreased platelet ATP level|decreased platelet aggregation|decreased platelet ADP level|abnormal blood homeostasis|abnormal NK cell physiology|abnormal pulmonary alveolus epithelium morphology|decreased platelet dense granule number
respiratory system,pos_adult,1,death,adult_aging,MGI:5451030,Ndufs4,homozygote,none,test,5,22653057,weight loss|impaired coordination|respiratory distress|abnormal pulmonary ventilation|microgliosis
respiratory system,pos_adult,1,death,adult_aging,MGI:3716855,Kras|Mapk14|Polr2a,multi-locus,decreased,test,6,17468755,abnormal lung development|abnormal tumor incidence|increased lung adenocarcinoma incidence|increased lung adenoma incidence|enlarged lung|increased lung tumor incidence
respiratory system,pos_adult,1,death,adult_aging,MGI:4880670,Fbn1,heterozygote,altered,test,9,21152435,kyphosis|abnormal lung morphology|lung inflammation|emphysema|abnormal aorta elastic fiber morphology|abnormal respiratory bronchiole morphology|hemothorax|abnormal skeleton morphology|abnormal aorta tunica media morphology
respiratory system,pos_dev,1,death,developmental,MGI:5614555,Scn4a,compound/other,unknown,train,2,25348630,abnormal lung volume|respiratory distress
respiratory system,neg,0,none,na,MGI:5912341,,multi-locus,increased,train,4,11751631,increased lung adenocarcinoma incidence|increased lung adenoma incidence|abnormal respiratory system physiology|increased lung tumor incidence
respiratory system,neg,0,none,na,MGI:4889123,Foxp2,homozygote,decreased,test,3,17428829,overexpanded pulmonary alveolus|abnormal respiratory conducting tube morphology|impaired lung alveolus development
respiratory system,neg,0,none,na,MGI:4820809,26Sor|Scgb1a1,multi-locus,none,test,2,20548776,increased lung adenocarcinoma incidence|bronchial epithelial hyperplasia
respiratory system,neg,0,none,na,MGI:3606939,Sftpd,homozygote,decreased,test,13,15310555|15310555|9751757|9751757,abnormal lung morphology|thick pulmonary interalveolar septum|overexpanded pulmonary alveolus|emphysema|abnormal pulmonary alveolus morphology|abnormal macrophage physiology|abnormal surfactant secretion|abnormal surfactant physiology|abnormal cholesterol homeostasis|abnormal alveolar macrophage morphology|increased type II pneumocyte number|enlarged alveolar lamellar bodies|abnormal pulmonary alveolus epithelium morphology
respiratory system,neg,0,none,na,MGI:3784208,,homozygote,unknown,train,1,,increased airway responsiveness
endocrine/exocrine gland,pos_adult,1,death,adult_aging,MGI:4437297,Amhr2|Smad1|Smad5,multi-locus,decreased,test,2,19819941,suppressed circulating follicle stimulating hormone level|increased granulosa cell tumor incidence
endocrine/exocrine gland,pos_adult,1,death,adult_aging,MGI:4821099,,hemizygote,increased,train,1,20530553,increased insulinoma incidence
endocrine/exocrine gland,pos_adult,1,death,adult_aging,MGI:5897861,,hemizygote,increased,train,16,1714832,spleen hypoplasia|increased metastatic potential|postnatal growth retardation|thymus hypoplasia|respiratory failure|respiratory distress|abnormal tracheal ciliated epithelium morphology|iodide oxidation defect|decreased activity of thyroid gland|cachexia|enlarged thyroid gland|decreased circulating thyroxine level|increased thyroid carcinoma incidence|thyroid gland cyst|short forehead|prominent forehead
endocrine/exocrine gland,pos_adult,1,death,adult_aging,MGI:3582618,Rb1|Rbl1,multi-locus,decreased,test,1,8682293,increased pituitary gland tumor incidence
endocrine/exocrine gland,pos_dev,1,death,developmental,MGI:5639392,Loricrin,homozygote,decreased,train,5,,abnormal testis morphology|small testis|abnormal skin morphology|increased kidney weight|increased spleen weight
endocrine/exocrine gland,neg,0,none,na,MGI:3584433,Wap,homozygote,decreased,test,1,16106354,abnormal milk composition
endocrine/exocrine gland,neg,0,none,na,MGI:5604879,26Sor,multi-locus,none,test,1,25105579,increased pancreatic beta cell number
endocrine/exocrine gland,neg,0,none,na,MGI:4889103,Edar,homozygote,unknown,test,9,19340299|20969842|9799834,absent hair follicles|abnormal coat appearance|abnormal minor salivary gland morphology|absent Meibomian glands|abnormal circumvallate papillae morphology|absent sweat gland|absent palatine gland|absent anterior lingual gland|abnormal enamel knot morphology
endocrine/exocrine gland,neg,0,none,na,MGI:6492683,Abo,homozygote,decreased,test,3,,abnormal testis morphology|small testis|abnormal skin morphology
endocrine/exocrine gland,neg,0,none,na,MGI:3803197,Aire,heterozygote,unknown,test,2,18414681,salivary gland inflammation|lacrimal gland inflammation
