genotype_id,gene_symbols,zygosity,expression_direction,genetic_background,primary_system,n_phenotype_terms,is_famous,eligible,phenotype_terms,pmids,direction,aging_terms,also_developmental
MGI:3694964,Cxcr3,homozygote,decreased,B6.Cg-Cxcr3<tm1Wwh>,immune system,8,0,1,lung inflammation|pulmonary interstitial fibrosis|abnormal physiological neovascularization|impaired macrophage chemotaxis|increased length of allograft survival|abnormal interferon level|abnormal cellular extravasation|decreased susceptibility to Riboviria infection,11085753|15152045|15152045|15718500|15254596|15718500,protective,decreased susceptibility to Riboviria infection induced morbidity/mortality,0
MGI:3694966,Ccl2,homozygote,decreased,involves: 129S4/SvJae * C57BL/6,immune system,11,0,1,abnormal response to cardiac infarction|abnormal T cell physiology|abnormal physiological neovascularization|impaired macrophage chemotaxis|abnormal heart left ventricle morphology|decreased incidence of tumors by chemical induction|decreased susceptibility to induced colitis|decreased interferon-gamma secretion|decreased interleukin-1 beta secretion|decreased interleukin-12b secretion|abnormal macrophage chemotaxis,10395330|15718500|15774854|16728728,protective,decreased susceptibility to xenobiotic induced morbidity/mortality,0
MGI:3695279,Parl,homozygote,decreased,involves: 129P2/OlaHsd * C57BL/6J,hematopoietic system,25,0,1,kyphosis|abnormal male reproductive system morphology|small testis|postnatal growth retardation|respiratory distress|neurodegeneration|muscular atrophy|cryptorchism|increased neuron apoptosis|spleen atrophy|thymus atrophy|abnormal uterine environment|decreased skeletal muscle mass|small epididymis|abnormal B cell morphology|decreased lymphocyte cell number|decreased B cell number|decreased double-positive T cell number|cachexia|abnormal nerve conduction|abnormal cell physiology|abnormal mitochondrial physiology|increased T cell apoptosis|decreased skeletal muscle fiber diameter|abnormal brain physiology,16839884,shortens,premature death,0
MGI:3695421,Kras|Ptf1a|Smad4,multi-locus,decreased,involves: 129 * FVB/N,endocrine/exocrine gland,3,0,1,increased tumor incidence|pancreas cyst|increased pancreatic ductal adenocarcinoma incidence,17114584,shortens,decreased tumor-free survival time,0
MGI:3695422,Kras|Smad4,multi-locus,decreased,involves: 129S/SvEv * 129S4/SvJae * C57BL/6 * CBA * FVB/N,neoplasm,3,0,1,increased tumor incidence|pancreas cyst|increased stomach tumor incidence,17114584,shortens,decreased tumor-free survival time,0
MGI:3695424,Cdkn2a|Kras|Ptf1a|Smad4,multi-locus,decreased,involves: 129 * FVB/N,neoplasm,2,1,1,increased tumor incidence|increased pancreatic ductal adenocarcinoma incidence,17114584,shortens,decreased tumor-free survival time,0
MGI:3695426,Cdkn2a|Kras|Smad4,multi-locus,decreased,involves: 129S/SvEv * 129S4/SvJae * C57BL/6 * CBA * FVB/N,neoplasm,3,1,1,increased tumor incidence|increased pancreatic ductal adenocarcinoma incidence|increased stomach tumor incidence,17114584,shortens,decreased tumor-free survival time,0
MGI:3695428,Cdkn2a|Kras|Ptf1a|Smad4,multi-locus,decreased,involves: 129 * FVB/N,endocrine/exocrine gland,1,1,1,increased pancreatic ductal adenocarcinoma incidence,17114584,shortens,decreased tumor-free survival time,0
MGI:3695429,Cdkn2a|Kras|Smad4,multi-locus,decreased,involves: 129S/SvEv * 129S4/SvJae * C57BL/6 * CBA * FVB/N,neoplasm,3,1,1,increased tumor incidence|increased pancreatic ductal adenocarcinoma incidence|increased stomach tumor incidence,17114584,shortens,decreased tumor-free survival time,0
MGI:3695430,Cdkn2a|Kras,multi-locus,decreased,involves: 129S4/SvJae * C57BL/6 * CBA,endocrine/exocrine gland,1,1,1,increased pancreatic ductal adenocarcinoma incidence,17114584,shortens,decreased tumor-free survival time,0
MGI:3695431,Cdkn2a|Kras|Ptf1a,multi-locus,decreased,involves: 129S1/Sv * 129S4/SvJae * 129X1/SvJ,endocrine/exocrine gland,1,1,1,increased pancreatic ductal adenocarcinoma incidence,17114584,shortens,decreased tumor-free survival time,0
MGI:3695432,Cdkn2a|Kras|Ptf1a,multi-locus,decreased,involves: 129S1/Sv * 129S4/SvJae * 129X1/SvJ,endocrine/exocrine gland,1,1,1,increased pancreatic ductal adenocarcinoma incidence,17114584,shortens,decreased tumor-free survival time,0
MGI:3695477,Ephb2|Ephb3,multi-locus,decreased,involves: 129S1/Sv * 129X1/SvJ * CD-1,hearing/vestibular/ear,15,0,1,abnormal inner ear vestibule morphology|cleft palate|abnormal sensory neuron innervation pattern|circling|abnormal semicircular canal morphology|delayed axon extension|abnormal axon guidance|abnormal vestibular system physiology|abnormal vestibular dark cell morphology|abnormal large intestine crypts of Lieberkuhn morphology|abnormal Paneth cell morphology|abnormal endolymph physiology|abnormal vestibular endolymph physiology|abnormal vestibular endolymph ionic homeostasis|small endolymphatic duct,10839360|16777604|17158005|21539827,shortens,premature death,0
MGI:3695479,Ephb2|Ephb3,multi-locus,decreased,involves: 129S1/Sv * 129X1/SvJ * CD-1,hearing/vestibular/ear,15,0,1,cleft palate|abnormal sensory neuron innervation pattern|circling|abnormal digestive system physiology|abnormal semicircular canal morphology|delayed axon extension|abnormal axon guidance|abnormal vestibular system physiology|abnormal large intestine crypts of Lieberkuhn morphology|abnormal Paneth cell morphology|abnormal endolymph physiology|abnormal vestibular endolymph physiology|abnormal vestibular endolymph ionic homeostasis|small endolymphatic duct|ectopic Paneth cells,10839360|16777604|17158005|19914164|21539827,shortens,premature death,0
MGI:3695566,Agrp,homozygote,decreased,involves: 129S7/SvEvBrd * C57BL/6J,growth/size/body region,5,0,1,increased body weight|decreased lean body mass|abnormal energy expenditure|impaired adaptive thermogenesis|increased food intake,17097059,extends,extended life span,0
MGI:3695567,Kras|Ptf1a|Tgfbr2,multi-locus,decreased,involves: 129S1/Sv * 129S4/SvJae * 129X1/SvJ * C57BL/6 * DBA/2,endocrine/exocrine gland,15,0,1,jaundice|enlarged spleen|paralysis|weight loss|distended abdomen|increased metastatic potential|hepatic necrosis|abnormal duodenum morphology|increased pancreatic ductal adenocarcinoma incidence|increased pancreatic intraepithelial neoplasia incidence|increased pancreas tumor incidence|dilated gallbladder|abnormal hepatic portal vein morphology|hemorrhagic ascites|abnormal hepatic portal vein thrombosis,17114585,shortens,premature death,0
MGI:3695569,Kras|Ptf1a|Tgfbr2,multi-locus,decreased,involves: 129S1/Sv * 129S4/SvJae * 129X1/SvJ * C57BL/6 * DBA/2,neoplasm,4,0,1,increased metastatic potential|increased pancreatic ductal adenocarcinoma incidence|increased pancreatic intraepithelial neoplasia incidence|increased pancreas tumor incidence,17114585,shortens,premature death,0
MGI:3695608,Ndfip1,homozygote,decreased,involves: 129P2/OlaHsd * C57BL/6,immune system,16,0,1,abnormal bone marrow cell number|extramedullary hematopoiesis|short tail|abnormal liver morphology|dermatitis|increased activated T cell number|increased inflammatory response|lung inflammation|abnormal tail morphology|abnormal T cell physiology|abnormal bile duct morphology|increased liver weight|increased spleen weight|cachexia|increased T cell proliferation|abnormal T-helper 2 physiology,17137798,shortens,premature death,0
MGI:3696114,C1galt1,homozygote,unknown,C57BL/6-C1galt1<ptl1>,renal/urinary system,16,0,1,abnormal thrombopoiesis|decreased body weight|kidney inflammation|increased mean platelet volume|glomerulonephritis|abnormal renal glomerular capsule morphology|albuminuria|increased urine protein level|thrombocytopenia|decreased renal glomerulus number|abnormal proximal convoluted tubule morphology|abnormal renal glomerulus morphology|increased circulating creatinine level|increased blood urea nitrogen level|renal cast|kidney cortex atrophy,17062753,shortens,premature death,0
MGI:3696354,Ercc2,homozygote,decreased,involves: 129P2/OlaHsd * C57BL/6 * FVB,integument,13,1,1,abnormal testis morphology|reddish skin|skin photosensitivity|cornea opacity|decreased exploration in new environment|limb grasping|postnatal growth retardation|acanthosis|increased incidence of tumors by UV-induction|cachexia|abnormal DNA repair|increased cellular sensitivity to ultraviolet irradiation induced cell death|decreased tumor latency,16904611,shortens,premature death,0
MGI:3696558,Serpinc1,homozygote,none,involves: 129S1/Sv * 129X1/SvJ,vision/eye,23,0,1,abnormal liver morphology|enlarged spleen|abnormal retina morphology|hepatic necrosis|abnormal atrial thrombosis|liver inflammation|decreased litter size|abnormal eye morphology|abnormal blood coagulation|abnormal liver regeneration|abnormal sclera morphology|portal hypertension|priapism|abnormal retina layer morphology|abnormal thrombosis|abnormal optic choroid morphology|abnormal penis morphology|abnormal retina pigment epithelium morphology|venoocclusion|abnormal placental thrombosis|abnormal cardiac thrombosis|macrovesicular hepatic steatosis|cornea perforation,14592998,shortens,premature death,1
MGI:3696709,,hemizygote,increased,Not Specified,cardiovascular system,4,0,1,enlarged heart|cardiac hypertrophy|dilated cardiomyopathy|congestive heart failure,16678093,shortens,premature death,0
MGI:3696819,Gfi1,homozygote,decreased,involves: 129S1/Sv * C57BL/6J,hearing/vestibular/ear,21,0,1,organ of Corti degeneration|decreased body size|ataxia|circling|hyperactivity|postnatal growth retardation|deafness|abnormal cochlear hair cell morphology|abnormal vestibular hair cell morphology|cochlear ganglion degeneration|increased vestibular hair cell number|cochlear hair cell degeneration|cochlear inner hair cell degeneration|decreased cochlear outer hair cell number|cochlear outer hair cell degeneration|degeneration of organ of Corti supporting cells|abnormal outer hair cell stereociliary bundle morphology|abnormal cochlear hair cell development|abnormal cochlear OHC efferent innervation pattern|head tilt|absent startle reflex,12441305,shortens,premature death,0
MGI:3696823,Mcm4,homozygote,unknown,involves: C57BL/6J,neoplasm,6,0,1,increased T cell derived lymphoma incidence|abnormal erythrocyte morphology|chromosomal instability|increased mammary gland tumor incidence|increased lymphoma incidence|increased micronucleus incidence,17143284|17143284|20838603|20838603,shortens,premature death,0
MGI:3697171,Ass1,homozygote,unknown,involves: C57BL/6JEiJ * P/J,integument,6,0,1,sparse hair|delayed hair appearance|wrinkled skin|decreased body size|abnormal hair follicle development|abnormal hair shaft morphology,,shortens,premature death,0
MGI:3697177,,homozygote,unknown,C3H/HeJ-sevr/GrsrJ,behavior/neurological,3,0,1,tremors|decreased body size|thymus atrophy,,shortens,premature death,0
MGI:3697525,Lepr,heterozygote,unknown,B6.Cg-Dock7<m> +/+ Lepr<db>/J,growth/size/body region,1,0,1,increased body weight,12594516|760211,extends,extended life span,0
MGI:3697623,Retnlb,homozygote,decreased,involves: 129S/SvEv * C57BL/6,immune system,3,0,1,decreased inflammatory response|decreased susceptibility to injury|decreased susceptibility to induced colitis,17024245,protective,decreased susceptibility to induced morbidity/mortality,0
MGI:3697730,Slc26a3,homozygote,decreased,involves: 129S6/SvEvTac * C57BL/6,digestive/alimentary,14,0,1,increased cell proliferation|rectal prolapse|abnormal colon morphology|decreased body weight|abnormal digestive system physiology|increased circulating aldosterone level|decreased circulating chloride level|abnormal feces composition|abnormal large intestine crypts of Lieberkuhn morphology|diarrhea|increased blood urea nitrogen level|decreased circulating potassium level|decreased circulating sodium level|increased feces water content,17001077,shortens,premature death,0
MGI:3698170,Tlr2,homozygote,decreased,involves: 129P2/OlaHsd,immune system,15,0,1,abnormal response to cardiac infarction|abnormal hepatocyte morphology|abnormal osteoclast physiology|decreased inflammatory response|abnormal macrophage physiology|decreased circulating alanine transaminase level|abnormal cytokine secretion|abnormal leukocyte migration|decreased cerebral infarct size|decreased circulating tumor necrosis factor level|decreased tumor necrosis factor secretion|decreased circulating interleukin-1 beta level|decreased interleukin-12 secretion|decreased interleukin-6 secretion|increased B cell apoptosis,11431423|11431423|12077222|11431423|16204620|17998311|16118350|16980352|17475877|17854911|17998311|21458307,protective,decreased susceptibility to bacterial infection induced morbidity/mortality,0
MGI:3698408,Htt,compound/other,decreased,involves: 129S1/Sv * 129X1/SvJ * Swiss Webster,behavior/neurological,14,1,1,tremors|paralysis|abnormal brain ventricle morphology|decreased body weight|decreased body size|abnormal gait|limb grasping|seizures|abnormal motor capabilities/coordination/movement|abnormal locomotor coordination|bradykinesia|enlarged lateral ventricles|enlarged third ventricle|increased susceptibility to malignant hyperthermia,11709539,shortens,premature death,0
MGI:3698432,Tpo,homozygote,unknown,involves: ICR,growth/size/body region,13,0,1,decreased hematocrit|small spleen|decreased body weight|decreased body size|disproportionate dwarf|exophthalmos|decreased erythrocyte cell number|abnormal thyroid follicle morphology|abnormal thyroid follicular cell morphology|increased circulating thyroid-stimulating hormone level|enlarged thyroid gland|abnormal enzyme/coenzyme activity|prominent forehead,16762971,shortens,premature death,0
MGI:3698531,Hadhb,homozygote,unknown,C57BL/6J-Hadhb<m1Yuan>,cardiovascular system,14,0,1,abnormal heart morphology|abnormal myocardial fiber morphology|abnormal skeletal muscle morphology|abnormal cardiovascular system physiology|irregular heartbeat|abnormal lipid homeostasis|hepatic steatosis|abnormal brown adipose tissue morphology|abnormal impulse conducting system conduction|cardiac fibrosis|prolonged PR interval|cardiomyopathy|decreased circulating glucose level|slow postnatal weight gain,17116638,shortens,premature death,0
MGI:3698637,Zic3,homozygote,decreased,either: (involves: 129S6/SvEvTac * 129S7/SvEvBrd) or (involves: 129S7/SvEvBrd * C57BL/6J),growth/size/body region,21,0,1,abnormal ear position|lowered ear position|malocclusion|kyphosis|scoliosis|abnormal jaw morphology|maxilla hypoplasia|abnormal mandible morphology|kinked tail|dextrocardia|abnormal left-right axis patterning|postnatal growth retardation|abnormal cricoid cartilage morphology|abnormal hyoid bone morphology|decreased rib number|premaxilla hypoplasia|abnormal zygomatic bone morphology|absent hyoid bone greater horns|hemifacial hypoplasia|mandibular coronoid process hypoplasia|developmental cataract,17127413,shortens,premature death,0
MGI:3698642,Zic3,hemizygote,decreased,either: (involves: 129S6/SvEvTac * 129S7/SvEvBrd) or (involves: 129S7/SvEvBrd * C57BL/6J),growth/size/body region,22,0,1,abnormal ear position|lowered ear position|malocclusion|kyphosis|scoliosis|abnormal jaw morphology|maxilla hypoplasia|abnormal mandible morphology|kinked tail|dextrocardia|abnormal left-right axis patterning|postnatal growth retardation|abnormal cricoid cartilage morphology|abnormal hyoid bone morphology|decreased rib number|premaxilla hypoplasia|abnormal zygomatic bone morphology|absent hyoid bone greater horns|ectopia cordis|hemifacial hypoplasia|mandibular coronoid process hypoplasia|developmental cataract,17127413,shortens,premature death,0
MGI:3698861,Gne,multi-locus,mixed,involves: C57BL/6,muscle,11,0,1,muscle weakness|abnormal skeletal muscle morphology|decreased body weight|abnormal muscle physiology|muscular atrophy|abnormal diaphragm morphology|abnormal skeletal muscle fiber morphology|abnormal myocardium layer morphology|increased variability of skeletal muscle fiber size|skeletal muscle fiber atrophy|increased circulating creatine kinase level,17164266,shortens,premature death,0
MGI:3698949,Surf1,homozygote,decreased,involves: 129S7/SvEvBrd * C57BL/6 * DBA/2,cellular,5,1,1,impaired coordination|abnormal fetal size|abnormal enzyme/coenzyme activity|abnormal mitochondrial physiology|decreased susceptibility to neuronal excitotoxicity,17210671,extends,extended life span,0
MGI:3699094,Sh3bp2,homozygote,none,involves: 129S4/SvJae * BALB/cJ * C57BL/6J,immune system,33,0,1,decreased bone mineral density|abnormal neurocranium morphology|abnormal jaw morphology|enlarged lymph nodes|dermatitis|abnormal skeleton physiology|abnormal osteoclast physiology|increased inflammatory response|liver inflammation|lung inflammation|stomach inflammation|abnormal craniofacial bone morphology|abnormal macrophage physiology|abnormal B cell number|abnormal immune system organ morphology|joint inflammation|abnormal long bone morphology|abnormal bone structure|abnormal compact bone morphology|myositis|increased osteoclast cell number|increased osteoblast cell number|osteomyelitis|blepharitis|abnormal bone ossification|abnormal osteoclast differentiation|increased spleen red pulp amount|increased circulating tumor necrosis factor level|decreased bone trabecula number|decreased trabecular bone volume|increased circulating enzyme level|alveolar process atrophy|spinal cord inflammation,17218256,shortens,premature death,0
MGI:3699203,Sall4,heterozygote,decreased,involves: 129P2/OlaHsd * C57BL/6J,digestive/alimentary,6,0,1,abnormal rectum morphology|kinked tail|exencephaly|megacolon|abnormal anus morphology|ventricular septal defect,16790473,shortens,premature death,1
MGI:3699208,Sall4,heterozygote,decreased,involves: 129P2/OlaHsd * C57BL/6J,digestive/alimentary,6,0,1,abnormal rectum morphology|kinked tail|exencephaly|megacolon|abnormal anus morphology|ventricular septal defect,16790473,shortens,premature death,1
MGI:3699232,Lepr,homozygote,unknown,NOD/ShiLt-Lepr<db-5J>,endocrine/exocrine gland,14,0,1,"abnormal circulating glucose level|weight loss|polyphagia|hyperglycemia|pancreas inflammation|increased circulating insulin level|abnormal CD4-positive, alpha beta T cell morphology|abnormal CD8-positive, alpha beta T cell morphology|abnormal pancreatic islet morphology|increased susceptibility to weight gain|increased percent body fat/body weight|periinsulitis|increased circulating leptin level|degranulated pancreatic beta cells",16123339|16380490,shortens,premature death,0
MGI:3699323,Bckdk,homozygote,decreased,B6.129S5/SvEvBrd-Bckdk<Gt(VICT48)710Lex>,growth/size/body region,17,0,1,decreased body weight|decreased body size|abnormal gait|abnormal coat appearance|postnatal growth retardation|reduced fertility|abnormal reflex|seizures|decreased brain weight|increased liver weight|abnormal carbon dioxide level|increased kidney weight|tonic-clonic seizures|decreased muscle weight|abnormal circulating amino acid level|abnormal amino acid level|decreased total body fat amount,16875466,shortens,premature death,1
MGI:3699612,Sele|Selp,multi-locus,decreased,involves: 129S2/SvPas,hematopoietic system,21,0,1,increased leukocyte cell number|increased neutrophil cell number|increased monocyte cell number|extramedullary hematopoiesis|abnormal erythropoiesis|spleen hyperplasia|abnormal myelopoiesis|impaired hematopoiesis|abnormal definitive hematopoiesis|increased susceptibility to bacterial infection|increased erythroid progenitor cell number|increased spleen weight|increased eosinophil cell number|increased lymphocyte cell number|abnormal granulocyte differentiation|increased spleen red pulp amount|increased circulating interleukin-3 level|impaired neutrophil recruitment|increased granulocyte monocyte progenitor cell number|increased circulating CSF2 level|impaired leukocyte tethering or rolling,8598043,shortens,premature death,0
MGI:3699952,Flna,heterozygote,decreased,involves: 129S4/SvJae * C57BL/6,cardiovascular system,8,0,1,increased leukocyte cell number|abnormal heart morphology|hepatic necrosis|edema|reduced female fertility|emphysema|dilated heart|abnormal thrombosis,17172441,shortens,premature death,1
MGI:3700280,Crabp1|Crabp2,multi-locus,decreased,involves: 129S2/SvPas * C57BL/6,limbs/digits/tail,1,0,1,polydactyly,7768191,shortens,premature death,0
MGI:3700542,Foxp3,hemizygote,decreased,involves: C57BL/6,immune system,10,0,1,"enlarged spleen|enlarged lymph nodes|scaly skin|decreased body size|abnormal immune system physiology|male infertility|increased autoantibody level|abnormal CD8-positive, alpha-beta T cell physiology|blepharitis|abnormal CD4-positive, alpha-beta T cell physiology",17220876,shortens,premature death,0
MGI:3700702,Sulf1,homozygote,decreased,involves: 129S2/SvPas * C57BL/6,cellular,1,0,1,increased fibroblast proliferation,16901266,shortens,premature death,0
MGI:3700703,Sulf2,homozygote,decreased,involves: 129S2/SvPas * C57BL/6,cellular,4,0,1,decreased body weight|decreased litter size|abnormal brain morphology|increased fibroblast proliferation,16901266,shortens,premature death,0
MGI:3700704,Sulf1|Sulf2,multi-locus,decreased,involves: 129S2/SvPas * C57BL/6,cellular,3,0,1,decreased body weight|decreased litter size|abnormal cell physiology,16901266,shortens,premature death,0
MGI:3700816,Hsp90b1|Lyz2,multi-locus,decreased,involves: 129P2/OlaHsd * 129S/SvEv,immune system,4,0,1,abnormal inflammatory response|increased susceptibility to bacterial infection|abnormal macrophage physiology|abnormal cytokine secretion,17275357,shortens,premature death,0
MGI:3700821,Trp53|Wrn,multi-locus,decreased,involves: 129S2/SvPas * BALB/c,,0,1,1,,10757812,shortens,premature death,0
MGI:3700822,Terc|Wrn,multi-locus,decreased,involves: 129/Sv * BALB/c * C57BL/6 * SLJ,skeleton,34,1,1,abnormal adipose tissue distribution|fragile skeleton|osteoporosis|decreased compact bone thickness|kyphosis|alopecia|abnormal crypts of Lieberkuhn morphology|abnormal femur morphology|small gonad|small testis|decreased body weight|cataract|abnormal skeleton physiology|hyperglycemia|impaired wound healing|increased sarcoma incidence|increased circulating insulin level|abnormal bone marrow morphology|delayed wound healing|abnormal chromosome morphology|increased osteosarcoma incidence|abnormal compact bone morphology|impaired glucose tolerance|abnormal bone ossification|decreased subcutaneous adipose tissue amount|decreased trabecular bone thickness|abnormal bone trabecula morphology|decreased bone trabecula number|decreased trabecular bone mass|decreased bone volume|abnormal osteoid morphology|decreased compact bone area|increased bone trabecular spacing|decreased telomere length,15235603|15235603|24626990|24626990,shortens,premature death|premature aging,0
MGI:3700929,Adgre5,homozygote,decreased,B6.129S6-Adgre5<tm1Kake>,immune system,2,0,1,increased granulocyte number|decreased susceptibility to bacterial infection,17158902,protective,decreased susceptibility to bacterial infection induced morbidity/mortality,0
MGI:3700949,,hemizygote,increased,Not Specified,cardiovascular system,22,0,1,abnormal heart morphology|enlarged heart|abnormal myocardial fiber morphology|cardiac hypertrophy|abnormal fluid regulation|abnormal respiration|increased heart rate|dilated cardiomyopathy|thick ventricular wall|cardiac fibrosis|decreased left ventricle systolic pressure|abnormal heart left ventricle morphology|abnormal sarcoplasmic reticulum morphology|abnormal myocardial fiber physiology|abnormal calcium ion homeostasis|increased myocardial fiber size|decreased cardiac muscle contractility|decreased heart rate|decreased heart ventricle muscle contractility|abnormal heart echocardiography feature|decreased cardiac muscle relaxation|decreased heart left ventricle muscle contractility,10428792|10428792|9525981|9525981,shortens,premature death,0
MGI:3701079,Igh,homozygote,none,B6.Cg-Igh<tm1(PAX5)Mbu>,immune system,18,0,1,abnormal heart morphology|abnormal liver morphology|abnormal salivary gland morphology|abnormal spleen morphology|enlarged spleen|enlarged lymph nodes|abnormal thymus morphology|enlarged thymus|abnormal lung morphology|thymus hypoplasia|increased T cell derived lymphoma incidence|abnormal kidney morphology|abnormal T cell differentiation|abnormal lymph node morphology|decreased double-negative T cell number|decreased double-positive T cell number|increased pro-B cell number|increased lymphoma incidence,16968900,shortens,premature death,0
MGI:3701080,Igh,heterozygote,none,B6.Cg-Igh<tm1(PAX5)Mbu>,immune system,18,0,1,abnormal heart morphology|abnormal liver morphology|abnormal salivary gland morphology|abnormal spleen morphology|enlarged spleen|enlarged lymph nodes|abnormal thymus morphology|enlarged thymus|abnormal lung morphology|thymus hypoplasia|increased T cell derived lymphoma incidence|abnormal kidney morphology|abnormal T cell differentiation|abnormal lymph node morphology|decreased double-negative T cell number|decreased double-positive T cell number|increased pro-B cell number|increased lymphoma incidence,16968900,shortens,premature death,0
MGI:3701504,Ctnnb1,multi-locus,none,involves: 129S1/Sv * C57BL/6 * CBA,integument,3,0,1,abnormal trabecular bone morphology|skin fibrosis|increased hepatoblastoma incidence,16951686,shortens,premature death,0
MGI:3701505,Ctnnb1,multi-locus,none,involves: 129S1/Sv * C57BL/6 * CBA,integument,3,0,1,abnormal trabecular bone morphology|skin fibrosis|increased hepatoblastoma incidence,16951686,shortens,premature death,0
MGI:3701601,Car12,other,none,Not Specified,,0,0,1,,16800892,shortens,premature death,0
MGI:3702015,Pou1f1,compound/other,unknown,(DW/J x C3H/HeJ)F1,,0,1,1,,11718806,extends,extended life span,0
MGI:3702085,Gas6,homozygote,decreased,B6.129P2-Gas6<tm1Hiar>,renal/urinary system,6,0,1,abnormal circulating serum albumin level|albuminuria|glomerulosclerosis|abnormal renal glomerulus morphology|decreased kidney cell proliferation|glomerular crescent,12122116,protective,decreased susceptibility to induced morbidity/mortality,0
MGI:3702286,Ap3b1,homozygote,unknown,B6.C3-Ap3b1<pe>/J,hematopoietic system,23,0,1,abnormal forebrain morphology|abnormal visual cortex morphology|abnormal superior colliculus morphology|lung hemorrhage|overexpanded pulmonary alveolus|abnormal eye movement|abnormal vision|abnormal pulmonary alveolus morphology|decreased lysosomal enzyme secretion|abnormal lateral geniculate nucleus morphology|abnormal optic tract morphology|abnormal platelet dense granule morphology|decreased platelet serotonin level|abnormal lysosome morphology|accumulation of giant lysosomes in kidney/renal tubule cells|abnormal enzyme/coenzyme activity|increased bleeding time|abnormal midbrain roof plate morphology|abnormal platelet activation|decreased platelet ATP level|decreased platelet aggregation|decreased platelet ADP level|decreased platelet dense granule number,10193444|10381507|25477496|3584547|6696991|7310489,shortens,premature death,0
MGI:3702612,Sox1,homozygote,decreased,Not Specified,vision/eye,7,0,1,abnormal lens vesicle development|microphthalmia|small lens|seizures|abnormal parental behavior|abnormal sexual interaction|abnormal lens development,15882093,shortens,premature death,0
MGI:3702615,Sox1|Sox2,multi-locus,decreased,involves: 129S/SvEv,nervous system,3,0,1,microphthalmia|seizures|abnormal olfactory cortex morphology,15882093,shortens,premature death,0
MGI:3702932,Slc6a3|Tfam,multi-locus,none,involves: 129S1/Sv * 129X1/SvJ * C57BL/6 * SJL,behavior/neurological,9,0,1,muscle spasm|tremors|decreased locomotor activity|decreased exploration in new environment|abnormal dopaminergic neuron morphology|loss of dopaminergic neurons|neuronal intranuclear inclusions|abnormal limb posture|decreased dopamine level,17227870,shortens,premature death,0
MGI:3702936,Psen1,homozygote,decreased,involves: 129S1/Sv * 129X1/SvJ,skeleton,13,0,1,abnormal vertebrae morphology|abnormal vertebral body morphology|kinked tail|short tail|hindlimb paralysis|abnormal forebrain morphology|abnormal spinal cord morphology|decreased body size|intracranial hemorrhage|abnormal axial skeleton morphology|abnormal vertebral lamina morphology|abnormal vertebral column morphology|spinal hemorrhage,11804702,shortens,premature death,1
MGI:3703249,26Sor|Col1a1,multi-locus,none,involves: 129S4/SvJae * C57BL/6,digestive/alimentary,16,1,1,abnormal cell proliferation|abnormal hair follicle morphology|abnormal stomach epithelium morphology|abnormal stomach glandular epithelium morphology|abnormal intestinal epithelium morphology|abnormal small intestine morphology|abnormal epidermal layer morphology|dehydration|spleen atrophy|thymus atrophy|lethargy|stomach epithelial hyperplasia|increased skin tumor incidence|abnormal forestomach morphology|abnormal stomach mucosa morphology|abnormal intermediate gastric gland morphology,15882627,shortens,premature death,0
MGI:3703438,Alox15,homozygote,decreased,B6.129S2-Alox15<tm1Fun>/J,hematopoietic system,14,0,1,abnormal bone marrow cell number|increased leukocyte cell number|dermatitis|anemia|abnormal myelopoiesis|abnormal lymph node morphology|abnormal spleen red pulp morphology|abnormal spleen white pulp morphology|abnormal myeloblast morphology/development|increased basophil cell number|increased spleen weight|increased chronic myelocytic leukemia incidence|intermingled spleen red and white pulp|decreased spleen B cell follicle number,17043146,shortens,premature death,0
MGI:3703619,Itgb1,multi-locus,decreased,involves: 129X1/SvJ * C57BL/6 * SJL,nervous system,13,0,1,abnormal cerebral cortex morphology|abnormal cortical marginal zone morphology|abnormal cerebellum morphology|small cerebellum|abnormal cerebellum development|abnormal cerebellar foliation|abnormal cerebellum vermis morphology|abnormal CNS glial cell morphology|abnormal eyelid morphology|ataxia|postnatal growth retardation|abnormal meninges morphology|abnormal Cajal-Retzius cell morphology,11516395,shortens,premature death,1
MGI:3703807,Wwtr1,homozygote,decreased,either: (involves: 129S6/SvEvTac) or (involves: 129S6/SvEvTac * C57BL/6),renal/urinary system,20,0,1,decreased body height|decreased body weight|decreased litter size|abnormal renal tubule morphology|tubular nephritis|dilated renal tubule|enlarged kidney|renal interstitial fibrosis|kidney failure|kidney cyst|pale kidney|abnormal skeleton morphology|increased blood urea nitrogen level|abnormal bone ossification|dilated proximal convoluted tubule|dilated distal convoluted tubule|abnormal renal tubule epithelial cell primary cilium morphology|kidney corticomedullary cyst|renal glomerulus atrophy|increased glomerular capsule space,17251353,shortens,premature death,1
MGI:3703878,Smad2|Smad3,multi-locus,decreased,involves: 129/Sv * 129S6/SvEvTac * C57BL/6 * SJL,cellular,2,0,1,abnormal cell morphology|decreased apoptosis,16382155,shortens,premature death,0
MGI:3703901,Helt,homozygote,decreased,B6.Cg-Helt<tm1Wrst>,behavior/neurological,7,0,1,decreased body weight|abnormal suckling behavior|limb grasping|postnatal growth retardation|seizures|loss of GABAergic neurons|tonic-clonic seizures,16968817,shortens,premature death,0
